0.0,0.0
0.1,0.0
0.2,0.0
0.3,0.0
0.4,0.0
0.5,0.0
0.6,0.0
0.7,0.0
0.8,0.0
0.9,0.0
1.0,1356.9657860504963
1.1,1670.1905024854213
1.2,2001.131200356398
1.3,2349.456249055912
1.4,2714.569737171795
1.5,3095.2754034639415
1.6,3490.7666714049965
1.7,3899.762689519768
1.8,4322.289842365971
1.9,4756.684456476512
2.0,5203.312713416724
2.1,5659.42114621617
2.2,6124.684885881036
2.3,6597.882642649633
2.4,7080.68503749769
2.5,7570.708863342228
2.6,7883.491138670762
2.7,8380.706270763514
2.8,8880.615758964484
2.9,9595.94400747974
3.0,10033.07433611789
3.1,10326.571604953244
3.2,10656.114172065041
3.3,11060.93138954571
3.4,11764.16419433511
3.5,12065.193941990123
3.6,12368.674044124318
3.7,12927.4282114005
3.8,13592.700850271913
3.9,14204.840876159866
4.0,14718.142296657754
4.1,15418.111703981582
4.2,15893.559148584052
4.3,16549.053733838547
4.4,17031.87825691845
4.5,17661.713339434198
4.6,18307.148828060665
4.7,18964.549526053343
4.8,19615.634491310055
4.9,20113.348647163566
5.0,20996.80701091356
5.1,21591.558892109824
5.2,22531.82377126894
5.3,23600.309050758562
5.4,24931.91628111708
5.5,26247.55857470889
5.6,27608.074051178275
5.7,28797.649423617935
5.8,29864.670738919678
5.9,31505.26551960873
6.0,32859.33676570325
6.1,34235.10229717179
6.2,35406.73300638341
6.3,36750.57841062861
6.4,38775.622181056126
6.5,40373.27469975011
6.6,41805.38047866998
6.7,43800.44082736819
6.8,45976.33148009292
6.9,48161.34240943561
7.0,50039.62208070944
7.1,51949.099192056565
7.2,53494.14679427413
7.3,55269.10017845808
7.4,56676.24962629162
7.5,58698.23966602096
7.6,60976.64676803245
7.7,63043.340231063376
7.8,64948.66649911298
7.9,66894.03575912914
8.0,68475.22948658888
8.1,70469.98458778302
8.2,71746.04252292529
8.3,73611.47992083467
8.4,75763.3419652613
8.5,77338.42169492375
8.6,79052.75087420015
8.7,80931.0926619287
8.8,82910.15100597647
8.9,85021.72589182154
9.0,86506.56223803837
9.1,88400.81955112134
9.2,89913.41496271167
9.3,92092.40322737872
9.4,93485.45485593792
9.5,95297.9557271872
9.6,96293.17359040018
9.7,97429.22370261712
9.8,98818.88942331226
9.9,100340.95775569107
10.0,102056.61937946353
10.1,103421.23336153098
10.2,104781.91524550688
10.3,106631.56472585651
10.4,108474.33305480999
10.5,109686.97709595978
10.6,110929.63253221322
10.7,111903.51606416269
10.8,113321.32697437856
10.9,114478.80819985669
11.0,115296.75190528065
11.1,116477.70530829893
11.2,117146.5274597187
11.3,118236.88512903327
11.4,119052.61435103229
11.5,118974.84939965558
11.6,119641.73588267167
11.7,119594.4170680726
11.8,119967.41932276131
11.9,120385.45438501556
12.0,120367.24706935891
12.1,120394.32100730394
12.2,120570.04641607711
12.3,121513.53951277722
12.4,121128.07945568257
12.5,121282.38334218827
12.6,121702.98906627754
12.7,121252.36603123747
12.8,121290.05944338729
12.9,120098.39901428862
13.0,119409.39052380319
13.1,119280.50966029873
13.2,118369.7974297575
13.3,118748.4009180543
13.4,118047.20887157682
13.5,117700.04540088102
13.6,117426.70892584947
13.7,117310.16836846509
13.8,116814.56317012585
13.9,115913.62644472004
14.0,114689.46118401518
14.1,114238.22727346618
14.2,113006.19299969645
14.3,112062.64863981835
14.4,110485.45011438282
14.5,109666.32393038107
14.6,108986.10100770353
14.7,108713.0975585881
14.8,108371.13270870653
14.9,107721.78496677264
15.0,106813.53875312502
15.1,106077.97113668594
15.2,105141.0994032543
15.3,104979.57530018741
15.4,103976.36733664286
15.5,102722.71401609523
15.6,102096.17623440581
15.7,100747.20609641353
15.8,99529.87190230544
15.9,98277.77316928015
16.0,97403.23572211112
16.1,95722.44953582386
16.2,94190.00956200769
16.3,92841.7636542465
16.4,91874.55497492987
16.5,90724.36374416512
16.6,90085.07553533452
16.7,89486.89790580541
16.8,89346.75203911797
16.9,88603.78843542018
17.0,87767.04636470632
17.1,87106.49749709797
17.2,86202.4943568817
17.3,85698.11676096018
17.4,84197.228306874
17.5,83712.278337819
17.6,83502.64294179337
17.7,82080.11690309097
17.8,81329.90564224782
17.9,79938.9276333692
18.0,79668.77370433195
18.1,79009.81194274135
18.2,78034.69915182916
18.3,77489.65503086432
18.4,76408.76500289407
18.5,75907.03193986253
18.6,74389.26867509025
18.7,73174.33894048598
18.8,71867.05369116542
18.9,70884.42988814412
19.0,69884.19668205504
19.1,68861.26115344532
19.2,67317.64295728307
19.3,66205.27774760225
19.4,65557.42651521794
19.5,64642.39906659935
19.6,63718.899766808965
19.7,62375.51905213334
19.8,61159.666398602356
19.9,59945.12244254968
20.0,58773.981319199105
20.1,57476.7550629392
20.2,56161.32185879566
20.3,55044.92774003377
20.4,53684.848627359344
20.5,52384.72810496258
20.6,51284.5834773506
20.7,49867.25716546387
20.8,49081.23442399964
20.9,48300.18751604499
21.0,46929.465054970795
21.1,45751.05106124982
21.2,45272.87586865888
21.3,44384.972359442974
21.4,43865.446490474074
21.5,42851.73828969973
21.6,42229.4038548889
21.7,41710.89362173143
21.8,40525.422178376786
21.9,39802.37664777881
22.0,39273.19956413197
22.1,38411.59114598953
22.2,37676.9242220899
22.3,37014.274458946646
22.4,36244.911099353136
22.5,35817.58607711621
22.6,35332.94375810524
22.7,34630.03889585168
22.8,34349.08399071555
22.9,33400.3831053046
23.0,32760.53185772037
23.1,32246.266151873177
23.2,31869.080728604553
23.3,31142.41329276469
23.4,30134.44367954075
23.5,29416.885541436073
